[Depot: A1 | stock:15
, Depot: A2 | stock:15
, Depot: A3 | stock:15
, Depot: A4 | stock:15
, Depot: A5 | stock:15
, Depot: A6 | stock:15
, Depot: A7 | stock:15
, Depot: A8 | stock:15
, Depot: A9 | stock:15
, Depot: A10 | stock:15
, Depot: A11 | stock:15
, Depot: A12 | stock:15
, Depot: A13 | stock:15
, Depot: A14 | stock:15
, Depot: A15 | stock:15
, Depot: A16 | stock:15
, Depot: A17 | stock:15
, Depot: A18 | stock:15
, Depot: A19 | stock:15
, Depot: A20 | stock:15
, Depot: A21 | stock:15
, Depot: A22 | stock:15
, Depot: A23 | stock:15
, Depot: A24 | stock:15
, Depot: A25 | stock:15
, Depot: A26 | stock:15
, Depot: A27 | stock:15
, Depot: A28 | stock:15
, Depot: A29 | stock:15
, Depot: A30 | stock:15
, Depot: A31 | stock:15
, Depot: A32 | stock:15
, Depot: A33 | stock:15
, Depot: A34 | stock:15
, Depot: A35 | stock:28
, Depot: A36 | stock:44
, Depot: A37 | stock:33
, Depot: A38 | stock:24
, Depot: A39 | stock:19
, Depot: A40 | stock:40
, Depot: A41 | stock:17
, Depot: A42 | stock:17
, Depot: A43 | stock:30
, Depot: A44 | stock:45
, Depot: A45 | stock:45
, Depot: A46 | stock:23
, Depot: A47 | stock:15
, Depot: A48 | stock:21
, Depot: A49 | stock:25
, Depot: A50 | stock:30
]
